first_name,last_name,position,height_feet,height_inches
Gary,Trent Jr.,G,,
Danny,Ainge,,,
Alaa,Abdelnaby,,,
Clifford,Robinson,,,
Buck,Williams,,,
Danny,Young,,,
Kevin,Duckworth,,,
Jerome,Kersey,,,
Wayne,Cooper,,,
Clyde,Drexler,,,
Robert,Pack,,,
Lamont,Strothers,,,
Ennis,Whatley,,,
Dave,Johnson,,,
Reggie,Smith,,,
Tracy,Murray,,,
James,Robinson,,,
Kevin,Thompson,,,
Aaron,McKie,,,
Arvydas,Sabonis,,,
Gary,Trent,,,
Randolph,Childress,,,
Aleksandar,Djordjevic,,,
Jermaine,O'Neal,,,
Marcus,Brown,,,
Kelvin,Cato,,,
Alvin,Williams,,,
Rick,Brunson,,,
Bonzi,Wells,,,
Erick,Barkley,,,
Ruben,Boumtje-Boumtje,,,
Qyntel,Woods,,,
Matt,Carroll,,,
Travis,Outlaw,,,
Kaniel,Dickens,,,
Slavko,Vranes,,,
Desmond,Ferguson,,,
Sebastian,Telfair,,,
Geno,Carlisle,,,
Ha,Ha,,,
James,Thomas,,,
Viktor,Khryapa,,,
Jarrett,Jack,,,
Martell,Webster,,,
Sergei,Monia,G,,
Brandon,Roy,G,,
Sergio,Rodriguez,,,
Taurean,Green,,,
Josh,McRoberts,,,
Greg,Oden,C,,
Rudy,Fernandez,,,
Jeff,Ayres,,,
Armon,Johnson,,,
Luke,Babbitt,,,
Elliot,Williams,,,
Chris,Johnson,,,
Nolan,Smith,,,
Victor,Claver,,,
Joel,Freeland,,,
Luis,Montero,,,
Cliff,Alexander,,,
Tim,Quarterman,,,
Abdul,Jeelani,,,
Jim,Brewer,,,
Jim,Paxson,,,
Kermit,Washington,,,
Kevin,Kunnert,,,
Larry,Steele,,,
Lionel,Hollins,,,
Ron,Brewer,,,
Tom,Owens,,,
Dave,Twardzik,,,
Maurice,Lucas,,,
Bob,Gross,,,
Billyray,Bates,,,
Mike,Harper,,,
Kelvin,Ransey,,,
Jeffrey,Crompton,,,
Peter,Verhoeven,,,
Jeff,Lamp,,,
Petur,Gudmundsson,,,
Carl,Bailey,,,
Audie,Norris,,,
Linton,Townes,,,
Tom,Piotrowski,,,
Bernard,Thompson,,,
Tom,Scheffler,,,
Ken,Johnson,,,
Fernando,Martin,,,
Walter,Berry,,,
Joe,Binion,,,
Ron,Rowan,,,
Nikita,Wilson,,,
Ronnie,Murphy,,,
Rolando,Ferreira,,,
Terry,Porter,,,
Mark,Bryant,,,
Drazen,Petrovic,,,
Michael,Beasley,F,6,9
Troy,Caupain,G,6,4
Pau,Gasol,C-F,7,0
Doron,Sheffer,G,,
Marcelo,Nicola,F-C,,
Federico,Kammerichs,F,,
Milovan,Rakovic,F,,
Antonio,Blakeney,G,6,4
Milton,Doyle,,,
Patrick,Patterson,F,6,9
Daniel,Diez,F,,
Erik,McCree,,,
Damian,Lillard,G,6,3
Keon,Johnson,G,,
Mario,Hezonja,F,6,8
Jarron,Cumberland,G,,
Nedzad,Sinanovic,C,,
Bojan,Dubljevic,F,,
Eric,Bledsoe,G,6,1
Ben,McLemore,G,,
Quinn,Cook,G,6,2
Rondae,Hollis-Jefferson,F,6,7
Kris,Dunn,G,6,4
Cameron,McGriff,F,,
Justise,Winslow,F,6,7
TJ,Leaf,F,6,10
Caleb,Swanigan,F,6,9
Kobi,Simmons,,,
Mark,Vital,F,,
Keljin,Blevins,F,,
Kenneth,Faried,F-C,6,8
Marcos,Louzada Silva,G,,
Anfernee,Simons,G,6,4
Drew,Eubanks,F,6,10
Josh,Hart,G,6,5
CJ,Elleby,F-G,,
Dennis,Smith Jr.,G,6,3
Cody,Zeller,C,7,0
Elijah,Hughes,G,,
Brandon,Williams,G,,
Greg,Brown III,F,,
Trendon,Watford,F,,
Nassir,Little,F,,
Jusuf,Nurkic,C,7,0
Joe,Ingles,F,6,8
